"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "JSON", "Markdown", "TypeScript JSX", "PostCSS", "XML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\TaskComponent\Task\Task.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 166, 0, 0, 0, 2, 41, 209
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\TaskComponent\Types\TaskType.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\TaskComponent\Types\UserType.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\TaskComponent\hooks\useFilterTasks.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 130, 0, 0, 0, 2, 27, 159
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\TaskComponent\hooks\useOptionsMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 10, 23
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\fixed\nav.css", "PostCSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\fixed\nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 4, 5, 44
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\connection\supabaseclient.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 8, 35
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 4, 35
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 17, 58
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10, 20
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\pages\Account\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\pages\Calendar\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 5, 23
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\pages\Habits\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 5, 12
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\pages\Login\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 5, 12
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\pages\Pomodoro\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 49, 1, 23, 73
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\pages\Pomodoro\pomodoro.css", "PostCSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\pages\Task\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\tailwind.config.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 22
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\tsconfig.json", "JSON with Comments", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\vercel.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"Total", "-", 33, 42, 18, 12024, 32, 1885, 134, 5, 63, 49, 582, 14867
